 ,Sentence,Chinese,Sort of done romanization,,,,,,Direct Chinese Translation from Hokkien,,,,,,,,,,,,,,,,,
175,What do you plan to do after graduating from university?,_____________,tua o biq giahp au le u si mi pah suhng_,Done,,,,,,,,,,,,,,,,,,,,,,
176,He is the youngest child in this class.,______________,i si tsi lei bahn lai bin siang sue ei hahq seing _,Done,,,,,,,,,,,,,,,,,,,,,,
177,What is the solution to this problem?,________?,tsi lei buhn tue ahn dzua gai guat?,Done,,,,,,,,,,,,,,,,,,,,,,
178,"She went to make a call, and will be back soon.",______________,i kah tian ue ki liau _it bahn nia tio teng lai liau _,Done,,,,,,,,,,,,,,,,,,,,,,
179,"I was afraid he was tired, so I let him rest for awhile. ",________________,ua kia i tsin sian _soh i hoh i hiu seikq tsit ei_,Done,,,,,,,,,,,,,,,,,,,,,,
180,My child studies under that teacher.,_____________,ua ei giah te hiq ei lau shi ei bahn_,Done,,,,,,,,,,,,,,,,,,,,,,
181,I boarded the wrong bus as I was not familiar with the city.,_______________,ua bue seik tsi lei so tsai_so i tah sah lah tsia ,Done,sah lah,,,,,,,,,,,,,,,,,,,,,
182,"The long distance bus just left, and the next one is in one hour.",_______________________,"tsi lei tsia gahm gahm dzau kuh, leing uai tsit ei ai tsit diam dzeing gah gau",Done,,,,,,,,,,,,,,,,,,,,,,
183,"This question is too difficult, nearly no one can think of the answer.",__________________,tsi lei bun tue gue kahng koh liau _bo lahng siung ei tshut dahq ahm_,Done,,,,,,,,,,,,,,,,,,,,,,
184,"Oh no, I forgot to lock the door when I left the house this morning!",______________,"tsia laht, ua gin lit tshut muhng si bue ki gia so si",Done,,,,,,,,,,,,,,,,,,,,,,
185,The teacher is looking at the students' question paper.,______________,,Done,,,,,,,,,,,,,,,,,,,,,,
186,The plane is leaving in 24 minutes.,____________,tsi ei bue gi ti tsahp hun dzeing au tiu ai bue liau,Done,,,,,,,,,,,,,,,,,,,,,,
187,I asked them how Xiao Ming was.,____________,ua muhng in nahng siau ming tsue gin ho bo_,Done,,,,,,,,,,,,,,,,,,,,,,
188,The first bus leaves at 5am.,______________,dzah khiq tau tsit deing tsia goh tiam gia _,Done,,,,,,,,,,,,,,,,,,,,,,
189,"He wrote an article on his computer, and is printing it right now.",________________,i iong tian nau sia tsit pian tso un_tsit tsun te ying_,Done,,,,,,,,,,,,,,,,,,,,,,
190,The last train that goes to that city from this leaves at 8pm,_________________________,lo bei tsit deing ki hiq lei so tsai ei hue tsia ahm mei pue tiam gia,Done,__,,,,,,,,,,,,,,,,,,,,,
191,"He is sleeping, and if I knock, I will disturb him.",______________,i te kun _ua ki kui muhng ei tsah tio i _,Done,,,,,,,,,,,,,,,,,,,,,,
192,I plan to take the next flight to Shanghai.,__________,ua siu ai dzei bue gi ki siong hai_,Done,,,,,,,,,,,,,,,,,,,,,,
193,"I was afraid you weren't aware, hence I came to inform you.",______________,ua kia le bei hiau _soh i lai gah le gohng,Done,,,,,,,,,,,,,,,,,,,,,,
194,I couldn't come up with an answer even after thinking for a very long time. ,_____________,ua siung liau pua lit ge si tsue bue tio dahq ahm_,Done,,,,,,,,,,,,,,,,,,,,,,
195,I have to settle some things in the afternoon.,________,ua ei bo u dai dzi ai dzo_,Done,,,,,,,,,,,,,,,,,,,,,,
196,"He needed to attend to an emergency matter, hence he informed everyone that the plan for tomorrow had changed.",_________________________,,Done,,,,,,,,,,,,,,,,,,,,,,
197,The manager put me in charge of advertising.,_________________,geing li hoh ua tsoh gohng go ei ming gia _,Done,,,,,,,,,,,,,,,,,,,,,,
198,The class monitor did a good job organizing the class for the party.,______________________,tseiq bai ___o __gei ua ei ei si _____gah tsin dzia ho _,Done,,,,,,,,,,,,,,,,,,,,,,
199,"I have too many things to handle, thus I might not be able to finish this tonight.",______________,ming gia tsin tsue liau _gin lit ko lian dzo bue uan _,Done,,,,,,,,,,,,,,,,,,,,,,
200,He is capable of doing many things.,__________,i tsin kiang_si mi tai dzi mah ei hiau dzo_,Done,,,,,,,,,,,,,,,,,,,,,,
201,He plans to go overseas and is settling his passport right now.,_____________,i ai tshut gohk_tsin tsue te dzoh passport_,Done,,,,,,,,,,,,,,,,,,,,,,
202,He is applying for a visa and has to fill in a form and pay fees.,___________________________,i dzoh passport ai seing tshia _tiam form_heing lui_,Done,,,,,,,,,,,,,,,,,,,,,,
203,You have to obtain a visa in order to go to that country.,______________,le ai seing gia visa gah ei sai ki hiq lei gohk gah _,Done,,,,,,,,,,,,,,,,,,,,,,
204,That student has very good grades.,_________,hiq lei hahq seing ei seing git tsin dzia ho ,Done,,,,,,,,,,,,,,,,,,,,,,
205,The new student needs to complete some procedures. ,___________,sin hahq seing ai dzoh tahn bo _,,,,,,,,,,,,,,,,,,,,,,,
206,"Registration has been completed, you can participate in the competition now.",_____________________,ua gah le bo mia liau _le ei sai kuh bi sai liau _,Done,,,,,,,,,,,,,,,,,,,,,,
207,He kept the book his parents gave him.,_______________,i it tiq siu tiau pei bu hoh i ei hiq bun tsei _,Done,,,,,,,,,,,,,,,,,,,,,,
208,"He is still holding on to the book, and hasn't given or thrown it away.",_____________,hiq bun tsei ge te i hiq tau_bo hi gaht,Done,__,,,,,,,,,,,,,,,,,,,,,
209,I still keep a few photos of me when I was young.,_________________,ua dzi dzun ge siu tiau gui tiu kah ki sue hahn ei siu_,Done,,,,,,,,,,,,,,,,,,,,,,
210,This city kept many of the old constructions so that others can learn about its past.,_____________________________,tsi lei sia tsi u tsin tsue gu ei geing deiq_hoh lahng liau gai tsit tau gu dzah si ah dzua kuan_,Done,__ sia tsi,,,,,,,,,,,,,,,,,,,,,
211,I have kept all my friends' letters instead of throwing them.,_______________,ua gu dzah ei ho peing u sia hoh ua ei pue ua long tsong u siu tiau,Done,,,,,,,,,,,,,,,,,,,,,,
212,"I have kept my first watch until now,",__________________,tsi si ua tau tsit ei tsiu bio_ua siu kau gin lit _,Done,______,,,,,,,,,,,,,,,,,,,,,
213,He normally ends work in the evening.,_________,i peing siong si tsin ua gah pahng kahng_,Done,_____,,,,,,,,,,,,,,,,,,,,,
214,The sky is dark when he gets off work.,___________,i pahng gahng ei si dzun tiu tsin oh liau_,Done,,,,,,,,,,,,,,,,,,,,,,
215,He goes for a stroll before dinner every evening.,______________,i tahq lit ahm mei tsiaq buhng dzeing ei tshut ki kia kia,Done,,,,,,,,,,,,,,,,,,,,,,
216,"He was afraid I couldn't understand, hence he spoke very slowly.",______________,i kia ua tia bue meing beiq_soh i gohng gah tsin dzia bahn _,Done,,,,,,,,,,,,,,,,,,,,,,
217,I love the scenery when the sun sets.,______________________,ua siang su gah kua tai iang lo sua ei si dzun _,Done,__,,,,,,,,,,,,,,,,,,,,,
218,I had rice and fish for lunch.,__________,ua ei dau si tsiaq liau buhng gah hi_,Done,ei dau__,,,,,,,,,,,,,,,,,,,,,
219,I am meeting my friend at 6 in the evening today.,_________,ua tau seing kua tio ua ei peing u,Done,,,,,,,,,,,,,,,,,,,,,,
220,"If you lie on the ground, you can hear sounds from far away.",________________,le te bahng toh kah_tio ei sai tia tio tsin huhng ei sia _,Done,,,,,,,,,,,,,,,,,,,,,,
221,"Have more food, it is delicious.",__________,"gei tsiaq tiam bo, tsai tsin ho tsiaq_",Done,,,,,,,,,,,,,,,,,,,,,,
222,"Work starts at 8. You arrived at 8.15. You are late,",___________________,le peing siong si pue tiam kui kahng_le gin lit pue tiam sah ei ti gah lai _tsi to liau _,Done,__,,,,,,,,,,,,,,,,,,,,,
223,I am full and cannot stomach anymore food.,________________,ua i geing tsiaq bah liau _mai tsiaq liau _,Done,,,,,,,,,,,,,,,,,,,,,,
224,I have a stomachache and wish to lie on the bed for awhile.,____________,ua ui tia_ua kua ua te min tsuhng te tsit bahn nia_,Done,,,,,,,,,,,,,,,,,,,,,,
225,He drinks 5 cups of coffee but only eats one meal.,_________________,i tsi lit lim goh bue kopi_tsiaq tsit tuhng buhng nia_,Done,,,,,,,,,,,,,,,,,,,,,,
226,I love eating Chinese dishes.,________,ua tsin dzia ai tsiaq tioong gohk tsai _,Done,,,,,,,,,,,,,,,,,,,,,,
227,I have always aspired to be a policeman.,___________,sue hahn ei si dzun _ua siu ai dzoh tsit lei mah tah _,Done,,,,,,,,,,,,,,,,,,,,,,
228,"It is very stuffy in the house, open the window to let fresh air in",_________________,tshu lai min tsin hip_kui tahng ah ua ua kohng ki _,Done,,,,,,,,,,,,,,,,,,,,,,
229,You are late.,_____,le lai ua liau _,Done,,,,,,,,,,,,,,,,,,,,,,
230,This house receives plenty of sunlight.,___________,tsi ei bahng geing ei tsin _,,,,,,,,,,,,,,,,,,,,,,,
231,I am sorry for being late for work thrice this month.,__________________,ua tsi to liau sah bai liau_pai sei pai sei_,Done,,,,,,,,,,,,,,,,,,,,,,
232,I want an apple.,______,ua ai tsit ei ping goh ,Done,,,,,,,,,,,,,,,,,,,,,,
233,"You must be punctual for lessons, don't be late,",___________,tsiong koh ai ei hu_bue sai tsi to _,Done,ei hu,,,,,,,,,,,,,,,,,,,,,
234,Today is Monday.,______,gin lit si lei bai ,Done,,,,,,,,,,,,,,,,,,,,,,
235,He has never been late before.,_______,i tsiong lai bo tsi to gue _,Done,,,,,,,,,,,,,,,,,,,,,,
236,Germany won the world cup last year.,______________,gu ni _deikq gohk dui ia liau sei gai bue ei guan gun _,Done,__,,,,,,,,,,,,,,,,,,,,,
237,I have been sick for 2 days now. ,______,ua pua bi neng lit liau ,Done,,,,,,,,,,,,,,,,,,,,,,
238,I like the scenery painted by the trees and rivers in the mountains.,__________________,ua su gah sua deing ei tshiu gah tshui tsoh tsit ei ei hohng geing_,Done,,,,,,,,,,,,,,,,,,,,,,
239,The last time I had noodles was 3 days ago.,_______,ua tsin ku bo tsiaq mi liau,Done,,,,,,,,,,,,,,,,,,,,,,
240,The scenery here is beautiful. There are mountains and rivers.,____________,tsi tau u sua u tshui _hohng geing tsin dzia sui _,Done,__,,,,,,,,,,,,,,,,,,,,,
241,I am 42 this year.,________,ua gin ni si tsahp ti hue liau ,Done,,,,,,,,,,,,,,,,,,,,,,
242,These beautiful sceneries left deep impressions on me.,__________________,bi lahng ei hohng geing hoh ua lau tiau tsin tsim ei eing siong_,Done,eing siong,,,,,,,,,,,,,,,,,,,,,
243,"I didn't catch that, please repeat it.",_____________,ua bo tia tseing tsho _tshia le gei gohng it pai _,Done,,,,,,,,,,,,,,,,,,,,,,
244,"That is a scenic location, you should visit it.",_________________,hiq tau ei hohng geing tsin tshut mia_nin nahng ki kuah kuah _,Done,,,,,,,,,,,,,,,,,,,,,,
245,"Stop hiding, I have already spotted you.",___________.,mai bi tiau liau _ua i geing kuah gi le liau .,Done,,,,,,,,,,,,,,,,,,,,,,
246,The tourists were overjoyed when they saw the beautiful scenery.,__________________,_lahng kuah tio tsi _sui _ei __si _hua hi _liau _,,,,,,,,,,,,,,,,,,,,,,,
247,She hid my book.,__________,i bah ua ei tsei bi khi lai liau _,Done,_,,,,,,,,,,,,,,,,,,,,,
248,This cup of fruit juice costs 70 cents.,_______,tsit bue gue dzi tsahp ai tshit kahk,Done,,,,,,,,,,,,,,,,,,,,,,
249,She hid the book somewhere I couldn't find.,______________,i bah tsei pahng te ua tsue bue tio ei soh tsai liau _,Done,,,,,,,,,,,,,,,,,,,,,,
250,This tree has 9 leaves.,________,tsi liap tsiu u kau pi hio ,Done,,,,,,,,,,,,,,,,,,,,,,
251,The kid hides when he sees strangers.,_______________,tsi giah kuah tio bue lin si ei lahng tio tio ___,,,,,,,,,,,,,,,,,,,,,,,
252,"To travel overseas, you need suffieient money.",________________,le siung ai tshut gohk tsia hohng_ai u lui _,Done,_____,,,,,,,,,,,,,,,,,,,,,
253,The dog hid behind the house.,__________,hiq tsiaq kau bi bahng au bei_,Done,_,,,,,,,,,,,,,,,,,,,,,
254,The shop sells alot of products.,__________,tsi ei tiam bue tsin tsue ming gia,Done,,,,,,,,,,,,,,,,,,,,,,
255,He did something wrong and hid somewhere.,_____________,i dzo tsoh ming gia _mai hoh lahng tsai _,Done,,,,,,,,,,,,,,,,,,,,,,
256,"Without a sufficient reason, it is impossible to persuade them.",_________________,i bo ho ei li iu_si bue sai gohng ia in nahng ei _,Done,__,,,,,,,,,,,,,,,,,,,,,
257,"Please pay attention, I am going to repeat what I did just now.",_____________________,dzu i kuah _ua gei dzo it pai _,Done,,,,,,,,,,,,,,,,,,,,,,
258,My report is very long.,______,ua ei bo go tsin dzia tuhng,Done,,,,,,,,,,,,,,,,,,,,,,
259,"Your homework is too messy, you need to redo it.",_____________,le ei gohng ko sia gah tsin luan_bahlik sia _,Done,__,,,,,,,,,,,,,,,,,,,,,
260,I left school at 7.30 pm yesterday.,_____________,ua tsah lit ki o tuhng _tshit tiam pua gah tuhng tsu ,Done,__,,,,,,,,,,,,,,,,,,,,,
261,"He didn't get accepted to university this year, and would like to take a retest next year.",_______________,i  gin ni bo ko tio tua o _siung me ni gei ko_,Done,__,,,,,,,,,,,,,,,,,,,,,
262,There was a call for you from Europe just now.,___________________,tau seing u lahng ka hoh le _ua kua si au tsiu kah lai ei _,Done,__,,,,,,,,,,,,,,,,,,,,,
263,Are you full?,______,le tsiaq bah bue_,Done,,,,,,,,,,,,,,,,,,,,,,
264,He is much heavier than he was.,__________,i dzi dzun bi gu dzah tahng tsin tsue_,Done,___,,,,,,,,,,,,,,,,,,,,,
265,"My sister has a flu, hence she didn't come to school today.",________________,ua ei sio bei siong hohng_soh i gin lit bo ki o tuhng_,Done,_____,,,,,,,,,,,,,,,,,,,,,
266,The heaviest box is mine.,___________,siang tahng ei ahp si ua ei _,Done,__,,,,,,,,,,,,,,,,,,,,,
267,It is so hot today.,_______,gin lit ti si tsin dzua_,Done,__,,,,,,,,,,,,,,,,,,,,,
268,"The box is too heavy, I can't lift it.",_____________,tsi lei ahp kah tahng liau _ua gia bue ki lai _,Done,,,,,,,,,,,,,,,,,,,,,,
269,I ate 10 sweets today.,_________,ua gin lit tsiaq tsahp liap tuhng,Done,__,,,,,,,,,,,,,,,,,,,,,
270,My bag is very heavy as there are many books. ,_______________,tsei bau lai min ah ni tsue tsei _tahng kau ai si_,Done,,,,,,,,,,,,,,,,,,,,,,
271,She owns this cat,_______,tsi tsia ngiau si i tsi ei,Done,_,,,,,,,,,,,,,,,,,,,,,
272,Is this bag of things heavy? Not really.,____________,tsi bau ming gia ei tahng bue_bue tsin tahng_,Done,,,,,,,,,,,,,,,,,,,,,,
273,Students often sit together to discuss many topics.,_______________,hahq seing muhn ei ___kuan bun tue _,,,,,,,,,,,,,,,,,,,,,,,
274,How heavy are these apples? Around 2 kilograms.,______________,tsi ei ping goh u gei tahng _tsah m toh sah gin_,Done,_,,,,,,,,,,,,,,,,,,,,,
275,They argued for a whole afternoon regarding who was right and who was wrong.,____________________,siang tio siang sah lah_in nahng tsah gui ei boh liau_,Done,___,,,,,,,,,,,,,,,,,,,,,
276,We have a dog.,________,lah nahng tsu u tsit tsia kau,Done,,,,,,,,,,,,,,,,,,,,,,
277,It is almost twelve and they have not finished argueing,____________,ai tsahp ti tiam liau _in nahng ah bue tsah ho.,Done,,,,,,,,,,,,,,,,,,,,,,
278,Did you know there are digital pets?,___________,dzi dzun tian nau lai min mah ei sai tsi kau,Done,,,,,,,,,,,,,,,,,,,,,,
279,"With different viewpoints, it doesn't hurt to have a debate.",_____________,siung ei hohng huat bo siang_bian lun tsit ei bo pai tshut_,Done,,,,,,,,,,,,,,,,,,,,,,
280,"He is almost married, and I am happy for him. ",______________,i ai geiq hun liau _tsin dzia hua hi _,Done,,,,,,,,,,,,,,,,,,,,,,
281,I also want to adopt a dog.,________,ua mah siung tsi tsit ei kau,Done,,,,,,,,,,,,,,,,,,,,,,
282,We all enjoy listening to his music.,____________,lah nahng long tsong tsin dzia su gah tia i ei gua _,Done,,,,,,,,,,,,,,,,,,,,,,
283,"siao ming likes to listen to music, he likes to switch on the MP3 player when he is in his room",____________________,siau ming ai tia eing gahk _te bahng geing si tahp bai kui eing gahk_,Done,,,,,,,,,,,,,,,,,,,,,,
284,"I am very tired today, and wish to sleep earlier.",______________,ua gin lit tsin dzia sian _siung ai tsah tahm po kun _,Done,,,,,,,,,,,,,,,,,,,,,,
285,His house is beside the sea. ,_______,i tsu te hai bi_,Done,__,,,,,,,,,,,,,,,,,,,,,
286,"This movie is good, I have watched it thrice already.",_______________,tsi tsu hi tsin dzia ho kuah _ua kuah sah pai liau_,Done,___,,,,,,,,,,,,,,,,,,,,,
287,There is a small shop by the road.,_________,loh bi u tsit lei sue tiam_,Done,_____,,,,,,,,,,,,,,,,,,,,,
288,My elder brother loves soccer.,____________,ua tua hia tsin dzia su gah ti giu _,Done,,,,,,,,,,,,,,,,,,,,,,
289,He has always been standing by the river. He didn't go anywhere else.,________________,i it tiq tiq kia bahng ho bi _bo ki to lo _,Done,_,,,,,,,,,,,,,,,,,,,,,
290,We are good friends. I know him very well.,______________,lah nahng si ho peing u _ua tsin dzia liau kaii _,Done,__,,,,,,,,,,,,,,,,,,,,,
291,"I studied at China, the school fees aren't too high.",_____________,ua te tioong gohk taht tsei _kai siau bue tsin tsue _,Done,__,,,,,,,,,,,,,,,,,,,,,
292,The television will be damaged easily when placed at the edge of the table.,________________,tian si gi pahng te to teing bi tau_gue tsohng pai ,Done,,,,,,,,,,,,,,,,,,,,,,
293,Their opinions differ,_______,in nahng i gi bue so siang,Done,,,,,,,,,,,,,,,,,,,,,,
294,This month's administrative expenses have been depleted.,____________,tsi gei ei lui iong uan liau _,Done,,,,,,,,,,,,,,,,,,,,,,
295,The cost of living here is very high.,____________,ua te tsit tau kai siau tsin dzia tsue _,Done,,,,,,,,,,,,,,,,,,,,,,
296,"His address has changed, he lives at the 5th unit now.",______________,i ei tei dzi ua liau _dzi dzun kia goh ho lau_,Done,____,,,,,,,,,,,,,,,,,,,,,
297,We can't get this amount of money at such short notice.,_________,lah nahng gia bue tshut tsi bit lui _,Done,,,,,,,,,,,,,,,,,,,,,,
298,"This place is too small, let's swicth to another location for our meeting.",_________________,tsi lei soh tsai tsin sue _lah nahng ua tsit lei soh tsai kui hue_,Done,,,,,,,,,,,,,,,,,,,,,,
299,It takes alot of money to buy a house.,____________,bue __si it bit bue sue ei _iong _,Done,,,,,,,,,,,,,,,,,,,,,,
300,"I am not free today, let's meet up some other time.",_________________,gin lit ua u ming gia _lah nahng ua bahq ei si gahn gi bin_,Done,,,,,,,,,,,,,,,,,,,,,,
301,"He knows that it is wrong to do that, but he refuses to change.",_________________,i meing meing tsai ia ah ni kuan dzo si tsoh ei _gah si bue gai bian _,Done,,,,,,,,,,,,,,,,,,,,,,
302,He said that it would be hard for him to meet up next time.,___Ò__________Ó,i gohng _Òua nahng ei bai tsin dzia kahng koh gi bin liau _Ó,Done,,,,,,,,,,,,,,,,,,,,,,
303,"You didn't change at all, you still look so young.",__________________,le ei bin dzi diam mah bo bin _ge si ah ni siau lian_,Done,__,,,,,,,,,,,,,,,,,,,,,
304,Her husband stopped drinking,__________,i ei ahng bo lim tsiu liau,Done,,,,,,,,,,,,,,,,,,,,,,
305,"He corrects himself when he is wrong, hence everyone likes him.",______________,i u tsoh tio ei bian_tah lahng long tsong su gah i _,Done,,,,,,,,,,,,,,,,,,,,,,
306,"This pair of pants is too long, he didn't help me tailor it.",_____________,tsi tiau koh tsin tuhng_i bo gah ua gue_,Done,___,,,,,,,,,,,,,,,,,,,,,
307,"This word is wrong, please correct it.",_____________,tsi lei dzi sia tsoh liau _ai gue_,Done,_,,,,,,,,,,,,,,,,,,,,,
308,This sentence has a problem; it needs to be changed.,_______________,tsi gu ue u bun tue _ua tsit ei_,Done,,,,,,,,,,,,,,,,,,,,,,
309,"This passage is very well written, there is no need to edit it.",____________,tsi ei tso bun sia gah dzia ho _mian gue liau _,Done,,,,,,,,,,,,,,,,,,,,,,
310,Your careless habit must be changed.,______________,le tso ming gia mai an ni tsoh sim_,Done,,,,,,,,,,,,,,,,,,,,,,
311,"Her dog died, so she felt very sad.",_______________,i ei kau si liau _i tsin dzia siong sim _,Done,,,,,,,,,,,,,,,,,,,,,,
312,"This book has too many concept, I cannot understand it.",________________,tsi bun tsei lai min ei __tsin tsue _ua kuah bue ming beiq _,,,,,,,,,,,,,,,,,,,,,,,
313,We should have a clear understanding of what is right and what is wrong.,_____________________,si mi si tui _si mi si tsoh _lah nahng  in gai liau gai_,Done,,,,,,,,,,,,,,,,,,,,,,
314,can someone explain this problem to me?,_____________,u lahng ei sai gai seiq tsit ei bun tue ho ua bo?,Done,__,,,,,,,,,,,,,,,,,,,,,
315,You must not slouch when you walk,_______,gia loh bei sai kiau gu _,Done,,,,,,,,,,,,,,,,,,,,,,
316,"Nowadays, young people like to wear charcoal-coloured clothes",___________________,dzi dzun siau lian lahng tsin dzia su gah tsheing oh oh ei sah koh _,Done,___,,,,,,,,,,,,,,,,,,,,,
317,"She is a black-haired, yellow-skinned Chinese lady.",_________________,heiq ei tioong gohk tsah boh tah muhng si oh ei_phei hu si ng ei,Done,__,,,,,,,,,,,,,,,,,,,,,
318,The small fella's black face revealed white teeth when he smiled.,__________________,heiq ei gin nah bin oh oh_tsit tsio tio tshut pei pei ei gei_,Done,__,,,,,,,,,,,,,,,,,,,,,
319,"After I went to the beach once, I became tanned.",______________,ki liau hai gi tsi lit_lahng long tsong paht oh liau _,Done,____,,,,,,,,,,,,,,,,,,,,,
320,"It is cold and dark outside, so you should not leave.",____________,ua kau iu kua iu oh _le mai gia liau _,Done,,,,,,,,,,,,,,,,,,,,,,
321,"When I went for class, he hadn't woken up yet; when I returned to the hostel, he was still asleep.",_______________________,ua ki tsiong koh si _i ah bue ki lai _ua teng lai si _i ge te kun _,Done,,,,,,,,,,,,,,,,,,,,,,
322,Don't forget to switch off the light when you leave the house.,____________,tshut muhng si_mai bue ki gue hue _,Done,,,,,,,,,,,,,,,,,,,,,,
323,"After the sun sets, the house cannot be seen.",_______________,lit tau lo sua liu _tshu lai bin tio ahm liau _,Done,__ lit tau,,,,,,,,,,,,,,,,,,,,,
324,"When I was young, I was really scared of the dark, so Mother usually switched off the light only after I fell asleep. ",__________________________,ua sue ei si dzun tsin kia oh _ai kun liau gah ei sai gui teing_,Done,,,,,,,,,,,,,,,,,,,,,,
325,"Switch on the light when reading books, or it will be too dark.",___________________,kuah tsei ai kui teing _bo ei tsin ahm _,Done,,,,,,,,,,,,,,,,,,,,,,
326,He pitied the poor person.,_________,i __hiq _ei _lahng _,,,,,,,,,,,,,,,,,,,,,,,
327,"After keeping it in his mouth for some time, he spat it out.",_____________,_liau it ei __i tio _tshut lai liau _,,,,,,,,,,,,,,,,,,,,,,,
328,"Everyone else is resting, but Anna is still revising her work.",________________,tahq ei lahng long tsong kun liau _ei ge te dzo gohng ko_,Done,,,,,,,,,,,,,,,,,,,,,,
329,He just entered primary school; he is still a child.,____________,i taht sue oh nia _guh sue hahn _,Done,,,,,,,,,,,,,,,,,,,,,,
330,"It's been a week, but he still hasn't recovered from his sickness.",_______________,tsit ei lei bai liau _i ei bi ge si ah bue ho _,Done,,,,,,,,,,,,,,,,,,,,,,
331,I love lively children the most.,__________,ua siang su gah ua _ei giah _,,,,,,,,,,,,,,,,,,,,,,,
332,"He's almost forty years old, but still isn't married yet.",____________,ai si tsahp hue liau _i ge ah bue geiq hun _,Done,,,,,,,,,,,,,,,,,,,,,,
333,The teacher is currently telling a story to the children.,____________,lau __te hoh giah _gohng goh suh _,,,,,,,,,,,,,,,,,,,,,,,
334,"We are all so old, but you are still young and beautiful.",________________,lah nahng lau liau _le ge ah siau lian_ge sui _,Done,,,,,,,,,,,,,,,,,,,,,,
335,That cheeky child is actually very smart.,_____________,hiq lei pai si ei gin nah __ si tsin dzia tsohng meing_,,________,,,,,,,,,,,,,,,,,,,,,
336,"The mother is very pretty, but the daugher is even prettier.",_______________,lau bu tsin dzia sui _tsah boh kia bi lau bu ge sui _,Done,,,,,,,,,,,,,,,,,,,,,,
337,Our children are all working.,__________,lah nahng ei giah long tsong tso kahng liau _,Done,,,,,,,,,,,,,,,,,,,,,,
338,The old lady is already one hundred years old,_________,lau ah mah i geing tsit pahk hue liau,Done,,,,,,,,,,,,,,,,,,,,,,
339,Our son and our daughter are both working already.,________________,lah nahng ei giah gah tsah boh kia long tsong tso kahng liau _,Done,,,,,,,,,,,,,,,,,,,,,,
340,"I did badly the last time, this time I did even worse.",__________________,tiong bai ua ko bo ho seing dzit _tseiq bai ko gah bi tiong bai lau ia_,Done,______,,,,,,,,,,,,,,,,,,,,,
341,"Doctor, my head hurts.",__________,i seing_ua ei thau tia _,Done,,,,,,,,,,,,,,,,,,,,,,
342,"Other than buying clothes, what else did you buy?",______________,_liau bue sah koh ___le ge bue si mi _,,,,,,,,,,,,,,,,,,,,,,,
343,"You watch the kids, I'll cook.",__________,le kuah giah _ua dzo buhng _,Done,,,,,,,,,,,,,,,,,,,,,,
344,"Ater buying the clothes, do you still want to buy anything else?",________________,bue liau sah koh_le u bahq hahng ming gia bue bo _,Done,,,,,,,,,,,,,,,,,,,,,,
345,Mother praised me for being a good child.,_________,lau bu gohng ua si tsit ei ho giah _,Done,,,,,,,,,,,,,,,,,,,,,,
346,Where are you all going?,_______,nin nahng ge ki to lo_,Done,,,,,,,,,,,,,,,,,,,,,,
347,which doctor do you go to when you are sick?,____________,le pua bi si ki to lo tsit lei i seing kuah bi _,Done,,,,,,,,,,,,,,,,,,,,,,
348,This hospital has good qualities.,__________,tsi tsu __ei tiau _tsin dzia ho _,,,,,,,,,,,,,,,,,,,,,,,
349,"During summer, I want to watch the sea with my friends.",________________,_lit ei si dzun _ua ai gah ua ei peing u kuah hai_,,,,,,,,,,,,,,,,,,,,,,,
350,He can speak Mandarin and English,_________,i ei hiau gohng tuhng lahng gah eng mun_,Done,__,,,,,,,,,,,,,,,,,,,,,
351,I like to swim in the sea,________,ua su gah te hai dei siu tsui_,Done,__,,,,,,,,,,,,,,,,,,,,,
352,"Two bottles of beer isn't enough, we still have to buy two more.",_______________,neng gun tsiu to lo gau _ge ki bue neng gun _,Done,,,,,,,,,,,,,,,,,,,,,,
353,They lay down on the beach beside the sea.,___________,in nahng te bahng hai gi ei shua heiq tau_,Done,_,,,,,,,,,,,,,,,,,,,,,
354,"Usually he wakes up at 7 o'clock, today he woke up at 5 o'clock.",______________________,ping siong si i tshit tiam ki lai _gin lit ah bue goh tiam tio khi lai liau _,Done,_____,,,,,,,,,,,,,,,,,,,,,
355,The river water flows towards the sea in the east.,_____________,tsi ___ei tshui __lau _tua __,,,,,,,,,,,,,,,,,,,,,,,
356,He woke up early this morning.,__________,i gin lit tsin dzia tsah tio ki lai liau _,Done,,,,,,,,,,,,,,,,,,,,,,
357,Smoking is harmful to the body.,________,__tui sim tei bo ho_,,,,,,,,,,,,,,,,,,,,,,,
358,"He isn't even six years old yet, but he can already write letters.",______________,ah bue lahk hue _i tiu ei hiau sia pue liau _,Done,,,,,,,,,,,,,,,,,,,,,,
359,Smoking has no benefits to the body.,______,__tui sim tei bo ho __,,,,,,,,,,,,,,,,,,,,,,,
360,He understood what I meant before I finished speaking.,____________,ua ah bue gohng uan _i tio ming beiq liau _,Done,,,,,,,,,,,,,,,,,,,,,,
361,Loving a child too much is harmful for their growth.,________________,gue hun ei ai giah _tui giah ei __u __,,,,,,,,,,,,,,,,,,,,,,,
362,He has written a novel in less than half a year.,_____________,bo kau pua ni i tio sia liau it bun tsei liau _,Done,,,,,,,,,,,,,,,,,,,,,,
363,There is a sweet in his mouth.,__________,i ei tshui lai min tsiaq tsit liap tuhng,Done,,,,,,,,,,,,,,,,,,,,,,
364,I saw that movie three years.,_____________,hiq lei hi ua sah tseing tiu kua gue liau,Done,,,,,,,,,,,,,,,,,,,,,,
